우편번호,위도,경도,평균_크기,평균_변환_전세(만원),지역구분코드,오피스텔비율,총거래수량,월세_비율(%),신축_비율(%),버스정류장,미술관 & 전시관,자전거대여소,헬스클럽,성당,병원,공연장,공원,영화관,지하철역,동물병원,뷰티케어,코인노래방,도서관,교회,대형마트,공공체육시설,카페 & 디저트,경찰서,생활용품점,술집,쇼핑센터,슈퍼마켓,약국,반찬가게 & 밀키트,편의점,은행,코인세탁방,요가,크로스핏,ATM,음식점,우체국,PC방,필라테스,주민센터,절
3946,37.568481,126.9088798,34.60525,22405.36071,0,0.0,80,50.0,68.75,26,2,4,8,1,39,0,1,0,0,4,0,0,0,22,0,0,51,1,0,19,0,15,13,3,15,4,3,3,0,9,122,2,1,6,1,1
3947,37.56703817,126.9080478,34.755,21010.99567,0,0.0,33,18.18181818,60.60606061,20,1,5,7,1,12,0,0,0,0,5,0,0,0,19,0,0,63,1,0,18,0,14,7,2,25,2,6,3,0,11,158,2,2,8,3,1
3948,37.56595771,126.9086726,35.30803922,20960.53221,0,0.0,51,21.56862745,64.70588235,21,1,5,4,1,10,0,1,0,0,3,0,0,0,18,0,0,63,1,0,17,0,12,6,2,27,2,6,2,0,11,150,1,2,8,3,2
3949,37.5674011,126.9116823,35.02088235,24930.14706,0,0.0,34,35.29411765,91.17647059,29,3,5,6,1,46,0,0,0,1,2,0,0,0,17,0,0,67,1,1,26,0,11,16,2,16,5,1,1,0,12,159,1,1,3,2,2
3950,37.56896852,126.9106487,27.07444444,16468.91534,0,0.0,27,51.85185185,70.37037037,27,2,4,5,1,45,0,1,0,1,2,0,0,0,20,0,0,52,1,1,24,0,14,14,3,14,5,3,2,0,11,140,1,1,5,1,1
3951,37.56897438,126.9123533,30.68727273,26438.73377,0,0.090909091,22,18.18181818,86.36363636,30,2,5,7,1,47,0,0,0,1,2,0,0,0,22,0,0,68,1,1,26,0,12,16,3,13,6,2,1,0,13,158,2,1,4,1,1
3954,37.556845,126.8973146,47.750625,18423.66071,0,0.0,16,56.25,0.0,25,1,1,4,0,0,0,1,0,0,0,0,0,0,6,0,1,57,0,0,21,0,11,1,0,12,0,1,0,0,4,73,1,2,2,0,0
3955,37.56053633,126.8996879,34.0607,20605.92857,0,0.0,100,38.0,58.0,32,2,2,8,0,5,0,2,0,0,0,0,0,0,13,0,1,101,0,0,23,0,16,2,0,13,0,3,0,0,9,130,1,7,2,1,1
3956,37.5591266,126.8994595,19.76,13500.0,0,0.0,2,0.0,0.0,34,2,0,5,0,5,2,2,0,0,0,0,0,0,15,0,1,116,0,0,33,0,20,3,1,17,1,3,1,0,10,157,1,5,4,1,1
3957,37.557867,126.8998996,41.01541667,19680.35714,0,0.0,24,54.16666667,20.83333333,34,3,1,6,0,12,2,0,0,0,1,1,0,0,16,0,1,161,1,0,41,0,15,6,2,17,1,4,2,0,11,176,1,5,4,1,1
3958,37.55700402,126.9019551,38.53575,18473.39286,0,0.0,40,37.5,10.0,40,5,1,7,0,30,2,0,0,0,1,1,0,0,22,0,1,243,1,0,77,0,21,9,6,23,1,5,2,0,16,269,1,5,4,2,1
3959,37.55842019,126.9022144,34.98772727,19457.5,0,0.0,66,48.48484848,27.27272727,47,5,2,10,0,31,2,0,0,0,2,1,0,0,23,0,1,235,1,0,70,0,22,8,7,26,1,6,2,1,17,308,1,10,6,2,1
3960,37.55995147,126.901522,43.626,20218.57143,0,0.0,10,60.0,10.0,40,2,3,9,0,25,2,1,0,1,2,1,0,0,18,0,0,171,0,0,43,0,21,7,5,18,1,6,1,1,14,235,1,8,5,1,1
3961,37.56128937,126.902817,28.50762887,20328.87334,0,0.0,97,51.54639175,54.63917526,34,2,4,9,0,27,1,2,0,1,1,2,1,0,14,0,0,160,0,0,38,0,23,8,5,29,1,7,1,1,15,258,1,7,9,1,1
3962,37.56171063,126.9043885,25.126,14120.0,0,0.0,5,0.0,0.0,31,2,5,9,0,33,1,1,0,1,2,2,1,0,14,0,0,158,0,0,44,0,14,10,5,31,1,6,1,1,16,286,0,9,9,2,1
3963,37.55967805,126.906305,37.365,18214.28571,0,0.0,2,100.0,0.0,29,2,3,13,1,47,4,1,0,0,4,1,0,0,21,0,0,239,0,0,79,0,18,9,7,29,3,6,4,1,17,347,1,10,6,3,1
3964,37.5590588,126.9047832,38.64395833,21561.0119,0,0.0,72,41.66666667,31.94444444,38,4,2,14,1,48,4,0,0,0,3,1,0,0,22,0,0,277,0,0,85,0,23,11,7,31,2,6,4,1,19,358,1,9,5,2,1
3965,37.56270269,126.9067028,30.94718182,21487.86364,0,0.081818182,110,37.27272727,57.27272727,16,0,5,9,0,18,1,1,0,1,2,1,1,0,16,0,0,118,0,0,40,0,10,2,2,28,0,6,1,1,11,228,0,7,7,3,2
3966,37.56360073,126.9112622,37.74475,21074.25893,0,0.0,80,47.5,48.75,18,2,3,1,1,5,1,1,0,0,4,0,0,0,13,0,0,48,0,0,6,0,7,4,0,17,2,1,2,0,8,93,1,1,0,2,1
3967,37.56014327,126.9150055,29.34833333,20661.28571,0,0.0,30,23.33333333,83.33333333,29,8,1,9,0,11,1,0,0,0,1,0,0,0,17,0,0,101,0,0,11,0,7,3,1,26,1,6,1,0,11,99,0,1,3,0,2
3968,37.55953955,126.9115223,34.61166667,20667.2619,0,0.0,18,22.22222222,38.88888889,22,5,3,11,1,62,2,1,0,1,3,1,2,0,15,0,0,124,0,0,55,0,12,8,2,33,3,5,4,1,18,211,0,5,5,0,1
